title,percentage of dislike
"李靚蕾廢話一堆是想表達什麼
",87.0
"快訊／重啟核四得浪費好幾千億 蘇貞昌挖
",71.0
"高雄造勢破3萬人 蔡英文登場「美國豬進口
",82.0
"快訊／北高趕場拚4不　蔡英文：不要為「
",73.0
"核四重啟困難重重 台電點出關鍵障礙
",68.0
"黃士修高價拜票電話引熱議 綠營：荒謬、
",73.0
"歐盟建議成員國2049年前逐步淘汰天然氣發
",91.0
"公投倒數24小時　蔡英文喊話台灣隊站出
",83.0
"核電廠會爆炸不是常識嗎？
",67.0
"林靜儀：反美豬阻經濟 難道要像馬時代到
",76.0
"1218公投》蔡英文：4項公投案看台灣人是
",81.0
"蔡英文：開放萊豬進口 避免經濟只依賴中國
",86.0
"秒殺黃士修！辣模「JoJo立」推公投　網
",79.0
"證實是韓粉！焦糖陳嘉行宣講公投遭攻擊　
",70.0
"公投倒數24小時！　蔡英文最新催票影片
",78.0
"憑什麼禁止我餵貓??
",68.0
"公投攸關未來 林飛帆：一起讓台灣大步往前
",85.0
"連變電站都能爆炸,拼裝車核四不就更會爆?
",93.0
"陳其邁：12/18四個不同意 就是不同意中國
",83.0
"綠電會搞垮台灣經濟吧？
",67.0
"林飛帆：1218不僅一場投票 是要決定台灣
",84.0
"馬英九訴求重啟核四 經濟部：引用偏頗資
",77.0
"蔡英文：開放萊豬進口 避免經濟只依賴
",90.0
"台灣房價其實還好的八卦
",75.0
"阿滴無預警拋喜訊！YT打滾6年突「宣布轉
",74.0
"柯P的SOP斷鏈！男有症狀卻漏篩害檢疫失
",83.0
"蘇貞昌：公正公開 不容任何意圖干擾公投
",86.0
"想贏韓國趁現在!蔡英文:1218公投對南台灣
",89.0
"民進黨：公投前三日中國又出手 意圖影響
",78.0
"登入2500講話可以大聲了吧？
",85.0
"滴妹穿婚紗！！！
",74.0
"盾牌牙醫表態「反萊豬公投」：檳榔可以選擇不吃　不是全面禁
",84.0
"綠營點名四公投全過有3危機　產經界紛紛
",80.0
"蔡英文:2025年台灣人均GDP 將有機會超過韓國
",80.0
"天然氣發電廠就不會爆炸？
",76.0
"台灣房價其實還好的八卦
",69.0
"核廢料放擁核縣市應該是剛剛好吧?
",85.0
"防疫女神許書華表態「反萊豬公投」：不同
",76.0
"邀顏寬恒PK電競遭婉拒　陳柏惟嘲笑：他
",83.0
"公投前示警！何博文：核四若發生核災 連
",72.0
"媽祖託夢林靜儀參選？林佳龍親曝「指示」
",74.0
"公投攸關國家路線 林飛帆籲別回頭
",81.0
"蔡英文稱「想贏韓國投4個不同意」　國民
",72.0
"蔡阿嘎合作新片當面嗆一句　蔡英文辣回：
",86.0
"政府查哄抬物價！下周起全面大稽查 連鎖
",77.0
"國民黨宣講公投提蔡同榮 台灣基進︰厚顏
",80.0
"四大公投 蔡英文痛批：若民粹凌駕民主、
",82.0
"媽祖託夢？林佳龍：感應到林靜儀參選發
",75.0
